,dropout_rate,optimizer__weight_decay,valid_loss
0,0.01,0.01,0.17704318634817126
1,0.01,0.01,0.0958422546258621
2,0.01,0.01,0.0956611185663325
3,0.01,0.0001,0.11520543620426055
4,0.01,0.0001,0.08810430320186748
5,0.01,0.0001,0.10150641511906595
6,0.01,1e-06,0.1518442193536382
7,0.01,1e-06,0.1730678539657802
8,0.01,1e-06,0.07891525985563502
9,0.01,0.0,0.1245009452540275
10,0.01,0.0,0.10886290147682728
11,0.01,0.0,0.08514358076979132
12,0.0001,0.01,0.13289734993500318
13,0.0001,0.01,0.10050766243005706
14,0.0001,0.01,0.18285569933188311
15,0.0001,0.0001,0.1337296413747888
16,0.0001,0.0001,0.1280931489792658
17,0.0001,0.0001,0.06761273700086509
18,0.0001,1e-06,0.1111677572000445
19,0.0001,1e-06,0.08963517345793066
20,0.0001,1e-06,0.08467472507892286
21,0.0001,0.0,0.13756585492322232
22,0.0001,0.0,0.19131745955748866
23,0.0001,0.0,0.14884035842602744
24,1e-06,0.01,0.10873404391414938
25,1e-06,0.01,0.09822116044965404
26,1e-06,0.01,0.0975226763088037
27,1e-06,0.0001,0.08155615976875463
28,1e-06,0.0001,0.09556115329352735
29,1e-06,0.0001,0.10272401804652284
30,1e-06,1e-06,0.1008382687475859
31,1e-06,1e-06,0.1160237929233682
32,1e-06,1e-06,0.10107975028016988
33,1e-06,0.0,0.09891361946359886
34,1e-06,0.0,0.12189711820421337
35,1e-06,0.0,0.07384828176787671
